Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2020-07-01,1029.863037109375,1040.6877319558273,1007.7389970251371,1012.0593008190723,17423359
2020-07-02,1034.4210205078125,1055.1682883039857,1030.4329133368697,1035.2756231808548,18477248
2020-07-03,1019.7506713867188,1040.4980551270066,1016.0000633112967,1037.8393170086424,13798627
2020-07-06,1047.33447265625,1063.3815970058238,1044.485874815843,1052.0346127290243,17779108
2020-07-07,1049.3760986328125,1055.595468343353,1037.8867760128765,1053.4116126541364,12174925
2020-07-08,1054.3135986328125,1068.129345629311,1049.233621925801,1051.1326873048522,15028175
2020-07-09,1068.1767578125,1072.687038109258,1051.3700754916397,1061.5775519527235,10057242
2020-07-10,1049.32861328125,1063.4766743632124,1044.0587760925375,1061.482678780733,8781489
2020-07-13,1025.7327880859375,1056.8299867064554,1017.2345160482053,1053.8864582632598,14961057
2020-07-14,1005.4127197265625,1014.9555701384713,997.0093781498229,1008.973467505669,13306337
2020-07-15,1000.00048828125,1024.5458879002435,997.1043668866713,1016.1899529232492,10487197
2020-07-16,1008.926025390625,1011.7271005157156,981.9117502983884,1000.4751611062903,11831228
2020-07-17,1043.01416015625,1048.2841130668194,1004.8905145329371,1005.6026640662706,14202869
2020-07-20,1075.867919921875,1094.7161181689253,1067.4170569052637,1077.7194620610808,32562048
2020-07-21,1081.0904541015625,1099.5112949384827,1076.770034143876,1093.9091449842279,23756211
2020-07-22,1069.506103515625,1086.7401447200023,1061.1502855354497,1081.0429486795306,12359006
2020-07-23,1073.3519287109375,1086.1706218502168,1059.9160160533688,1068.224428273272,10074561
2020-07-24,1062.6219482421875,1066.2302186177126,1045.6728138958363,1066.2302186177126,9799220
2020-07-27,1025.0205078125,1047.3345253517255,1021.0799240863893,1044.3434742868583,18985047
2020-07-28,1031.809814453125,1039.168693468771,1006.0299763970066,1024.545865533148,17798225
2020-07-29,1010.8724975585938,1033.5663524573388,1002.2792960987148,1026.4448571487214,16796043
2020-07-30,997.6266479492188,1028.9612299863575,993.8759238867935,1019.7982153905141,13478133
2020-07-31,980.6773681640625,1004.3206384424847,968.5707689108232,1004.3206384424847,18863348
2020-08-03,951.4317626953125,975.122557129064,942.8859684196061,974.1730244317633,15891771
2020-08-04,989.0808715820312,1007.5018312195709,952.3814054099537,957.1290694448986,30153084
2020-08-05,975.6923828125,1002.5166818779205,968.5233644859812,995.0627573744158,16610680
2020-08-06,988.1785888671875,1001.7569522136989,974.4578883500556,984.6653644034178,16823444
2020-08-07,991.169677734375,994.3505890718188,969.0930426370866,982.6238835031666,12418392
2020-08-10,997.6266479492188,1010.302887500472,991.1223715264928,991.3122317203879,11086427
2020-08-11,1012.8191528320312,1016.9495972017385,995.5851098655676,995.5851098655676,10068074
2020-08-12,1010.0180053710938,1012.2019772017586,995.110386592348,1011.2524443901247,10333216
2020-08-13,1005.6027221679688,1017.281905643584,1003.1813672508322,1014.0534710573223,9946370
2020-08-14,982.2440795898438,1012.1069532936997,975.455013343731,1012.1069532936997,10462256
2020-08-17,980.6298828125,994.1607236065723,968.7132591778186,994.1607236065723,9780506
2020-08-18,1003.1812133789062,1008.0713295555558,970.4223379775127,976.1195336994942,12020412
2020-08-19,1012.771484375,1015.810058350045,1002.9438447937629,1011.2522553423503,8857812
2020-08-20,1005.55517578125,1015.0029802190684,998.9084465740085,1001.7095218045854,9608367
2020-08-21,1030.8602294921875,1033.8512807677944,1010.8725192008399,1011.6321917472584,14462151
2020-08-24,1060.6756591796875,1066.2778099643526,1030.860306117769,1031.1926194153696,18389870
2020-08-25,1063.191650390625,1070.123285024871,1050.3729597536812,1062.527023906682,13800869
2020-08-26,1062.004638671875,1074.6334680041414,1053.5063686773535,1064.4259930485023,12595031
2020-08-27,1055.9752197265625,1072.8769469858582,1050.4204769962603,1068.9838863660584,10322998
2020-08-28,1058.254150390625,1068.2242433283564,1039.7382635062668,1055.8327957418478,19348305
2020-08-31,1059.5361328125,1090.8233075606856,1045.1506879669582,1072.497278483429,19250583
2020-09-01,1070.408203125,1085.8855157801681,1052.082176608977,1071.0728296163593,14438942
2020-09-02,1076.9124755859375,1081.5176857453973,1064.141191928346,1067.3696261125206,9880841
2020-09-03,1073.82666015625,1088.117059163281,1071.0729918710824,1079.856170217543,9916681
2020-09-04,1062.81201171875,1068.604138084431,1048.6639511171732,1053.981311126491,11830685
2020-09-07,1054.4560546875,1063.001848917295,1043.5364287272062,1059.963390666158,8807733
2020-09-08,1056.3077392578125,1062.3373653926997,1047.3347004726118,1057.7795614927375,7312459
2020-09-09,1041.16259765625,1053.981289009063,1036.177551019045,1045.4354947738543,7864436
2020-09-10,1035.512939453125,1049.0911876104276,1029.2934538615543,1047.334575285327,7594044
2020-09-11,1024.2135009765625,1049.091212104171,1016.9495524201812,1041.115114001277,10397365
2020-09-14,1004.55810546875,1038.7888067535537,999.2407453620178,1033.0916103728214,10825295
2020-09-15,1016.4747924804688,1021.8396756133915,1004.7005633884212,1014.1009606437558,8252555
2020-09-16,1038.4564208984375,1040.6877994763138,1014.4331981415172,1016.1898103875155,9355056
2020-09-17,1028.9136962890625,1038.7888603740223,1023.5963359078575,1029.2935325826693,9159343
2020-09-18,1003.94091796875,1037.0795147510337,994.3505454686936,1036.889654584789,11740889
2020-09-21,996.3447265625,1017.2818534317606,988.9383250041357,1001.7570166868585,9921439
2020-09-22,983.1461791992188,1004.7480480898821,977.543913096173,1000.8549872080209,9310339
2020-09-23,994.3981323242188,1001.7570108398671,982.1491371613822,993.2112164345981,8039914
2020-09-24,978.3984985351562,994.1607178715127,973.2709988713473,985.6149237350813,9904755
2020-09-25,991.3120727539062,998.8608108520708,973.8881720517231,997.009268574331,10160772
